hour,start_cell,end,hourly_demand
12.0,7,1,0.0288461538461538
12.0,7,3,0.0096153846153846
12.0,7,11,0.0096153846153846
12.0,7,12,0.0096153846153846
12.0,7,18,0.0288461538461538
12.0,7,28,0.0096153846153846
12.0,7,49,0.0865384615384615
12.0,7,52,0.0288461538461538
12.0,7,70,0.0384615384615384
12.0,7,82,0.0096153846153846
12.0,7,90,0.0192307692307692
12.0,7,97,0.0096153846153846
12.0,7,108,0.0288461538461538
12.0,7,115,0.0384615384615384
12.0,7,122,0.0192307692307692
12.0,7,129,0.048076923076923
12.0,7,147,0.0096153846153846
12.0,7,152,0.0961538461538461
12.0,7,153,0.1538461538461538
12.0,7,165,0.0288461538461538
12.0,7,167,0.0096153846153846
12.0,7,169,0.0288461538461538
12.0,7,174,0.0576923076923076
12.0,7,191,0.0192307692307692
12.0,7,198,0.0288461538461538
12.0,7,218,0.0096153846153846
12.0,7,219,0.0096153846153846
12.0,7,220,0.0288461538461538
12.0,7,238,0.0865384615384615
12.0,7,264,0.0288461538461538
12.0,7,270,0.1057692307692307
12.0,7,277,0.0384615384615384
12.0,7,285,0.0288461538461538
12.0,8,3,0.0192307692307692
12.0,8,11,0.0384615384615384
12.0,8,12,0.0192307692307692
12.0,8,18,0.0096153846153846
12.0,8,70,0.0096153846153846
12.0,8,82,0.0288461538461538
12.0,8,90,0.0096153846153846
12.0,8,96,0.0096153846153846
12.0,8,97,0.0096153846153846
12.0,8,124,0.048076923076923
12.0,8,129,0.0384615384615384
12.0,8,132,0.0384615384615384
12.0,8,137,0.0096153846153846
12.0,8,169,0.0096153846153846
12.0,8,174,0.0096153846153846
12.0,8,198,0.0288461538461538
12.0,8,216,0.0192307692307692
12.0,8,218,0.0096153846153846
12.0,9,0,0.0096153846153846
12.0,9,1,0.0192307692307692
12.0,9,3,0.0096153846153846
12.0,9,12,0.0096153846153846
12.0,9,14,0.0192307692307692
12.0,9,18,0.0961538461538461
12.0,9,28,0.0673076923076923
12.0,9,49,0.0192307692307692
12.0,9,70,0.0288461538461538
12.0,9,71,0.0096153846153846
12.0,9,90,0.0384615384615384
12.0,9,97,0.0096153846153846
12.0,9,108,0.0096153846153846
12.0,9,115,0.0096153846153846
12.0,9,122,0.0096153846153846
12.0,9,129,0.0192307692307692
12.0,9,146,0.0192307692307692
12.0,9,152,0.0096153846153846
12.0,9,153,0.048076923076923
12.0,9,154,0.0192307692307692
12.0,9,165,0.0865384615384615
12.0,9,167,0.0096153846153846
12.0,9,174,0.0865384615384615
12.0,9,218,0.0288461538461538
12.0,9,219,0.0096153846153846
12.0,9,238,0.0096153846153846
12.0,9,270,0.0673076923076923
12.0,9,277,0.0192307692307692
12.0,9,285,0.0096153846153846
13.0,0,0,0.0288461538461538
13.0,0,1,0.0288461538461538
13.0,0,3,0.0384615384615384
13.0,0,11,0.0096153846153846
13.0,0,12,0.0288461538461538
13.0,0,28,0.0192307692307692
13.0,0,49,0.0673076923076923
13.0,0,52,0.0192307692307692
13.0,0,70,0.0096153846153846
13.0,0,71,0.0288461538461538
13.0,0,90,0.0096153846153846
13.0,0,97,0.0096153846153846
13.0,0,108,0.1826923076923077
13.0,0,115,0.0192307692307692
13.0,0,129,0.0576923076923076
13.0,0,146,0.0192307692307692
13.0,0,147,0.0384615384615384
13.0,0,148,0.0096153846153846
13.0,0,150,0.0096153846153846
13.0,0,152,0.0384615384615384
13.0,0,153,0.0673076923076923
13.0,0,154,0.0096153846153846
13.0,0,155,0.1153846153846153
13.0,0,165,0.0096153846153846
13.0,0,167,0.0096153846153846
13.0,0,174,0.0673076923076923
13.0,0,191,0.0096153846153846
13.0,0,198,0.048076923076923
13.0,0,209,0.0769230769230769
13.0,0,216,0.0192307692307692
13.0,0,218,0.0192307692307692
13.0,0,219,0.2211538461538461
13.0,0,220,0.0673076923076923
13.0,0,238,0.0576923076923076
13.0,0,264,0.0192307692307692
